OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
1,Fangshan Line,9537,Liangxiang Univ. Town West,Fangshan District,116.159,39.7233,0.048780488,0.086956522,0.050691244,0.067654639,0.012195122
2,Line 14,1475,Zaoying,Chaoyang District,116.47,39.9452,NA,NA,NA,NA,1.662921348
3,Line 6,621,Haidian Wuluju,Haidian District,116.269,39.9331,NA,NA,0.645010047,0.707491082,0.614793856
4,Changping Line,9433,Shahe,Changping District,116.285,40.1463,0.233970754,0.052222817,0.045891608,0.095117845,0.054928131
5,Changping Line,9431,Shahe Univ. Park,Changping District,116.249,40.1663,0.117088608,0.035454545,0.070243902,0.102991162,0.05135603
6,Line 8,805,Zhuxinzhuang,Changping District,116.32,40.111,0.08322325,0.09375,0.112719752,0.134171908,0.080322829
7,Line 5,521,Tiantongyuan North,Changping District,116.413,40.0821,0.091777274,0.088446001,0.085114728,0.120299515,0.051814907
8,Line 15,1555,Houshayu,Chaoyang District,116.563,40.1124,0.220250522,0.279809221,0.289081886,0.344582593,0.25436409
9,Line 15,1559,Shimen,Shunyi District,116.641,40.1295,NA,0.063953488,0.1,0.139871383,0.102925244
10,Line 15,1563,Fengbo,Shunyi District,116.684,40.1325,NA,0.086876155,0.110690634,0.141991925,0.077735125
11,Airport Express,9827,Terminal 3,Chaoyang District,116.616,40.0512,NA,NA,NA,NA,NA
12,Line 15,1549,Sunhe,Chaoyang District,116.535,40.0452,0.43902439,0.621621622,0.308823529,0.24291498,0.170068027
13,Line 14,1493,Shangezhuang,Chaoyang District,116.477,40.0302,NA,NA,NA,NA,0.320987654
14,Line 8,823,South Gate of Forest Park,Chaoyang District,116.393,40.0101,0.35483871,1.457142857,1.690909091,2,1.507692308
15,Line 13,1329,Shangdi,Haidian District,116.32,40.033,0.705611776,0.779597567,0.864788732,1.056882159,1.091811414
16,Line 4,421,North of Anheqiao,Haidian District,116.27,40.0092,0.085543767,0.101117901,0.116692035,0.239106145,0.162927981
17,Line 1,103,Pingguoyuan,Shijingshan District,116.178,39.926,0.121819077,0.125442375,0.129065672,0.215935493,0.119738915
18,Line 4,439,National Library,Haidian District,116.325,39.9431,4.076923077,4.390662796,4.704402516,3.954356846,5.871972318
19,Line 8,837,Shichahai,Dongcheng District,116.395,39.9403,NA,NA,NA,0.95035461,1.079646018
20,Line 6,655,Dalianpo,Chaoyang District,116.564,39.9239,NA,NA,0.053791887,0.12161814,0.083192568
21,Line 6,663,Wuzixueyuanlu,Tongzhou District,116.639,39.9269,NA,NA,NA,NA,0.097271649
22,Batong Line,9713,Tuqiao,Shunyi District,116.694,39.8648,0.235551664,0.335205993,0.170977011,0.221604448,0.115131579
23,Batong Line,9709,Guoyuan,Tongzhou District,116.647,39.8934,0.048686244,0.079710145,0.064678706,0.097854834,0.048969072
24,Line 7,761,Jiaohuachang,Chaoyang District,116.54,39.8529,NA,NA,NA,NA,0.164658635
25,Line 10,9023,Panjiayuan,Chaoyang District,116.461,39.876,NA,NA,0.453906936,0.583477959,0.448568399
26,Line 4,461,Beijing South Railway Station,Dongcheng District,116.384,39.8673,0.163752914,0.231012636,0.298272358,0.390499195,0.289874255
27,Line 10,1433,Xiju,Fengtai District,116.304,39.8666,NA,NA,0.285106383,0.55526658,0.596385542
28,Line 14 (West Section),1427,Guozhuangzi,Fengtai District,116.253,39.8592,NA,NA,NA,0.19751693,0.112227806
29,Line 14 (West Section),1421,Zhangguozhuang,Fengtai District,116.195,39.8567,NA,NA,NA,0.184454756,0.060830861
30,Fangshan Line,9529,Libafang,Fangshan District,116.19,39.7611,0.166666667,0.08,0.252427184,0.122651934,0.078464107
31,Fangshan Line,9525,Daotian,Fangshan District,116.218,39.7945,0.166666667,0,0.060606061,0.17847769,0.049568966
32,Daxing Line,9323,Xihongmen,Daxing District,116.329,39.7882,0.078929766,0.111692845,0.10308963,0.189303308,0.180928209
33,Daxing Line,9321,Xingong,Fengtai District,116.366,39.8108,0.111597374,0.190566038,0.138788753,0.231406974,0.144084342
34,Yizhuang T1 Line,9629,Yizhuangqiao,Daxing District,116.48,39.8033,0.280742459,0.098958333,0.291060291,0.318342152,0.22392638
35,Yizhuang T1 Line,9641,Jinghailu,Tongzhou District,116.562,39.784,15.22222222,3.181818182,2.951456311,2.188295165,1.799382716
36,Yizhuang T1 Line,9645,Ciqu,Tongzhou District,116.602,39.8128,0.129198966,0.149425287,0.20952381,0.21483376,0.053418803
37,Daxing Line,9337,Yihezhuang,Daxing District,116.32,39.7109,1.212121212,0.277777778,0.287671233,0.18230563,0.12195122
38,Fangshan Line,9541,Suzhuang,Fangshan District,116.125,39.7232,0.126865672,0.059633028,0.06744868,0.12,0.064027939
39,Fangshan Line,9539,Liangxiang Nanguan,Fangshan District,116.145,39.7233,0.016949153,0.052083333,0.078212291,0.107594937,0.046920821
40,Fangshan Line,9535,Liangxiang Univ. Town,Fangshan District,116.177,39.7233,1,0.1,0.111111111,0.484375,1.076923077
